"","X","Player","Age","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X.","OWS","DWS","WS","WS.48","X..1","OBPM","DBPM","BPM","VORP","Tm","fix"
"1",1,"Trae Young",23,76,2652,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,NA,9,1,10,0.181,NA,7.1,-2,5.2,4.8,"ATL","traeyoung"
"2",2,"Kevin Huerter",23,74,2188,11.9,0.57,0.541,0.068,1.6,11,6.4,13.2,1.2,1.1,10.4,17.5,NA,1.8,1,2.8,0.062,NA,-0.5,-0.7,-1.2,0.4,"ATL","kevinhuerter"
"3",3,"Clint Capela",27,74,2042,21.4,0.604,0.002,0.28,15,31.9,23.5,6.6,1.3,4.1,6.1,15.5,NA,5.6,2.7,8.3,0.195,NA,2.1,-0.1,2,2.1,"ATL","clintcapela"
"4",4,"Bogdan Bogdanović",29,63,1848,15.4,0.562,0.578,0.145,1.7,13,7.4,15.5,1.8,0.7,7.7,21.6,NA,2.5,1.2,3.7,0.095,NA,1.5,-0.2,1.3,1.5,"ATL","bogdanbogdanovi"
"5",5,"Danilo Gallinari",33,66,1672,14.3,0.579,0.492,0.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,NA,2.8,0.8,3.6,0.105,NA,1,-1.2,-0.2,0.8,"ATL","danilogallinari"
"6",6,"John Collins",24,54,1663,18.7,0.61,0.273,0.262,6.2,21.5,13.9,8.9,1,3,7.7,20.5,NA,3.6,1.4,5.1,0.146,NA,1.5,0,1.5,1.5,"ATL","johncollins"
"7",7,"De'Andre Hunter",24,53,1577,10.6,0.547,0.339,0.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,NA,0.4,0.7,1.1,0.034,NA,-2.4,-1.5,-3.9,-0.8,"ATL","deandrehunter"
"8",8,"Delon Wright",29,77,1452,13.8,0.576,0.431,0.234,3.8,12.7,8.3,16.6,3.1,1.2,13.2,10.3,NA,2.2,1.5,3.6,0.121,NA,-0.2,2.4,2.2,1.6,"ATL","delonwright"
"9",9,"Onyeka Okongwu",21,48,992,19.8,0.714,0,0.487,12.8,18.4,15.6,7.6,1.5,5.4,13.8,14,NA,3.1,1.1,4.2,0.202,NA,0,0.8,0.8,0.7,"ATL","onyekaokongwu"
"10",10,"Lou Williams",35,56,799,12.1,0.5,0.319,0.244,2.2,9.7,6,18.6,1.7,0.3,10.8,21.7,NA,0.2,0.4,0.6,0.034,NA,-2,-1.4,-3.4,-0.3,"ATL","louwilliams"
"11",12,"Timothé Luwawu-Cabarrot",26,52,685,9.3,0.556,0.656,0.22,2.7,10.3,6.6,7.7,1.3,0.8,8.9,14.3,NA,0.6,0.3,0.9,0.061,NA,-2.3,-1,-3.3,-0.2,"ATL","timothluwawucabarrot"
"12",13,"Gorgui Dieng",32,44,371,17.3,0.624,0.607,0.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,NA,0.8,0.4,1.2,0.155,NA,1.4,0.8,2.1,0.4,"ATL","gorguidieng"
"13",14,"Skylar Mays",24,28,220,11.7,0.589,0.391,0.141,2.5,9.9,6.2,10.8,1.6,0,12.8,15.5,NA,0.2,0.1,0.3,0.061,NA,-1.2,-0.8,-2,0,"ATL","skylarmays"
"14",15,"Solomon Hill",30,13,139,3.3,0.2,0.65,0,4.8,13.3,9.1,10.3,1.4,1.3,4.8,6.6,NA,-0.1,0.1,0,-0.006,NA,-5.2,1.2,-4,-0.1,"ATL","solomonhill"
"15",16,"Jalen Johnson",20,22,120,11.3,0.59,0.317,0.171,1.8,21.8,11.9,3.7,1.2,1.5,17,19.3,NA,-0.1,0.1,0,0.013,NA,-3.9,-1.1,-4.9,-0.1,"ATL","jalenjohnson"
"16",19,"Wes Iwundu",27,3,82,7.1,0.557,0.278,0.222,4,13.3,8.7,0,0.6,0,4.8,11.1,NA,0.1,0,0.1,0.046,NA,-4.1,-2.7,-6.8,-0.1,"ATL","wesiwundu"
"17",22,"Cameron Oliver",25,2,43,21.4,0.705,0.2,0.2,5.1,10.1,7.6,11.1,1.1,2.1,0,16.6,NA,0.2,0,0.2,0.219,NA,2.3,-0.5,1.7,0,"ATL","cameronoliver"
"18",23,"Sharife Cooper",20,13,39,-5.4,0.25,0.429,0,0,14,7,16.3,0,0,26.3,21.3,NA,-0.2,0,-0.2,-0.297,NA,-11.3,-5,-16.3,-0.1,"ATL","sharifecooper"
"19",24,"Cat Barber",27,3,13,-11.2,0,0,1,8.5,16.7,12.6,26.7,0,0,14.8,22.7,NA,-0.1,0,-0.1,-0.45,NA,-15.8,-7.6,-23.5,-0.1,"ATL","catbarber"
"20",25,"Jayson Tatum",23,76,2731,21.8,0.578,0.416,0.3,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,NA,5,4.6,9.6,0.169,NA,4.3,0.6,4.9,4.8,"BOS","jaysontatum"
"21",26,"Marcus Smart",27,71,2296,13.6,0.54,0.501,0.249,2,10.5,6.4,25.6,2.6,0.7,16.6,18.3,NA,1.9,3.7,5.6,0.116,NA,-1.2,1.7,0.5,1.5,"BOS","marcussmart"
"22",27,"Jaylen Brown",25,66,2220,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,NA,2.3,3.4,5.8,0.124,NA,1.9,0.1,2.1,2.2,"BOS","jaylenbrown"
"23",28,"Al Horford",35,69,2005,16.7,0.574,0.466,0.167,6,22.2,14.3,16.4,1.2,4.2,9.6,14.8,NA,3.7,3.8,7.6,0.181,NA,1.4,2.9,4.3,3.2,"BOS","alhorford"
"24",29,"Grant Williams",23,77,1875,11.2,0.635,0.597,0.22,3.8,11.8,7.9,5.7,1,2.8,11.6,12.6,NA,2.4,2.6,5.1,0.13,NA,-1.4,1.1,-0.4,0.8,"BOS","grantwilliams"
"25",30,"Robert Williams",24,61,1804,22.1,0.745,0.003,0.245,14.6,20.5,17.6,9.7,1.5,6.8,13.4,11.5,NA,6,3.9,9.9,0.262,NA,2.4,3.1,5.5,3.4,"BOS","robertwilliams"
