"","X","Player","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS.G","Tm","fix"
"1",1,"Trae Young",23,76,76,34.9,9.4,20.3,0.46,3.1,8,0.382,6.3,12.3,0.512,0.536,6.6,7.3,0.904,0.7,3.1,3.7,9.7,0.9,0.1,4,1.7,28.4,"ATL","traeyoung"
"2",2,"John Collins",24,54,53,30.8,6.3,11.9,0.526,1.2,3.3,0.364,5.1,8.7,0.588,0.576,2.5,3.1,0.793,1.7,6.1,7.8,1.8,0.6,1,1.1,3,16.2,"ATL","johncollins"
"3",3,"De'Andre Hunter",24,53,52,29.8,4.8,10.8,0.442,1.4,3.7,0.379,3.4,7.2,0.474,0.506,2.4,3.1,0.765,0.5,2.8,3.3,1.3,0.7,0.4,1.3,2.9,13.4,"ATL","deandrehunter"
"4",4,"Kevin Huerter",23,74,60,29.6,4.7,10.3,0.454,2.2,5.6,0.389,2.5,4.7,0.53,0.559,0.6,0.7,0.808,0.4,3,3.4,2.7,0.7,0.4,1.2,2.5,12.1,"ATL","kevinhuerter"
"5",5,"Bogdan Bogdanović",29,63,27,29.3,5.4,12.6,0.431,2.7,7.3,0.368,2.7,5.3,0.516,0.537,1.5,1.8,0.843,0.5,3.5,4,3.1,1.1,0.2,1.1,2.1,15.1,"ATL","bogdanbogdanovi"
"6",7,"Clint Capela",27,74,73,27.6,5,8.2,0.613,0,0,0,5,8.1,0.614,0.613,1.1,2.3,0.473,3.8,8.1,11.9,1.2,0.7,1.3,0.6,2.2,11.1,"ATL","clintcapela"
"7",8,"Wes Iwundu",27,3,1,27.3,2.7,6,0.444,1,1.7,0.6,1.7,4.3,0.385,0.528,1,1.3,0.75,1,3.3,4.3,0,0.3,0,0.3,2.7,7.3,"ATL","wesiwundu"
"8",9,"Danilo Gallinari",33,66,18,25.3,3.9,9,0.434,1.7,4.5,0.381,2.2,4.6,0.485,0.528,2.1,2.4,0.904,0.5,4.1,4.7,1.5,0.4,0.2,0.6,1.4,11.7,"ATL","danilogallinari"
"9",11,"Cameron Oliver",25,2,0,21.5,5,7.5,0.667,0.5,1.5,0.333,4.5,6,0.75,0.7,1,1.5,0.667,1,2,3,1.5,0.5,0.5,0,2.5,11.5,"ATL","cameronoliver"
"10",12,"Onyeka Okongwu",21,48,6,20.7,3.3,4.7,0.69,0,0,NA,3.3,4.7,0.69,0.69,1.7,2.3,0.727,2.4,3.5,5.9,1.1,0.6,1.3,0.9,3.1,8.2,"ATL","onyekaokongwu"
"11",13,"Delon Wright",29,77,8,18.9,1.6,3.5,0.454,0.6,1.5,0.379,1,2,0.51,0.535,0.7,0.8,0.857,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4,"ATL","delonwright"
"12",15,"Lou Williams",35,56,0,14.3,2.2,5.7,0.391,0.7,1.8,0.363,1.6,3.9,0.404,0.448,1.2,1.4,0.859,0.3,1.3,1.6,1.9,0.5,0.1,0.8,0.9,6.3,"ATL","louwilliams"
"13",16,"Timothé Luwawu-Cabarrot",26,52,18,13.2,1.4,3.6,0.398,0.8,2.3,0.361,0.6,1.2,0.469,0.516,0.7,0.8,0.854,0.3,1.3,1.6,0.8,0.3,0.1,0.4,1.5,4.4,"ATL","timothluwawucabarrot"
"14",18,"Solomon Hill",30,13,1,10.7,0.2,1.5,0.15,0.2,1,0.154,0.1,0.5,0.143,0.2,0,0,NA,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6,"ATL","solomonhill"
"15",19,"Gorgui Dieng",32,44,3,8.4,1.2,2.5,0.473,0.7,1.5,0.426,0.5,1,0.545,0.603,0.4,0.6,0.731,0.7,2,2.8,0.8,0.3,0.3,0.5,1.2,3.5,"ATL","gorguidieng"
"16",20,"Skylar Mays",24,28,5,7.9,1.1,2.3,0.5,0.3,0.9,0.32,0.9,1.4,0.615,0.563,0.3,0.3,0.889,0.2,0.7,0.9,0.6,0.3,0,0.4,0.3,2.9,"ATL","skylarmays"
"17",22,"Jalen Johnson",20,22,0,5.5,1,1.9,0.537,0.1,0.6,0.231,0.9,1.3,0.679,0.573,0.2,0.3,0.714,0.1,1.1,1.2,0.1,0.1,0.1,0.4,0.4,2.4,"ATL","jalenjohnson"
"18",23,"Cat Barber",27,3,0,4.3,0,1.3,0,0,0,NA,0,1.3,0,0,0,1.3,0,0.3,0.7,1,1,0,0,0.3,0.3,0,"ATL","catbarber"
"19",24,"Sharife Cooper",20,13,0,3,0.2,1.1,0.214,0.1,0.5,0.167,0.2,0.6,0.25,0.25,0,0,NA,0,0.4,0.4,0.4,0,0,0.4,0.1,0.5,"ATL","sharifecooper"
"20",25,"Jayson Tatum",23,76,76,35.9,9.3,20.6,0.453,3,8.6,0.353,6.3,12,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8,4.4,1,0.6,2.9,2.3,26.9,"BOS","jaysontatum"
"21",26,"Jaylen Brown",25,66,66,33.6,8.7,18.4,0.473,2.5,7,0.358,6.2,11.4,0.544,0.541,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6,"BOS","jaylenbrown"
"22",27,"Marcus Smart",27,71,71,32.3,4.2,10.1,0.418,1.7,5.1,0.331,2.5,5,0.506,0.501,2,2.5,0.793,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1,"BOS","marcussmart"
"23",28,"Robert Williams",24,61,61,29.6,4.4,6,0.736,0,0,0,4.4,6,0.738,0.736,1.1,1.5,0.722,3.9,5.7,9.6,2,0.9,2.2,1,2.2,10,"BOS","robertwilliams"
"24",30,"Al Horford",35,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,"BOS","alhorford"
"25",33,"Grant Williams",23,77,21,24.4,2.7,5.6,0.475,1.4,3.4,0.411,1.3,2.3,0.569,0.597,1.1,1.2,0.905,0.8,2.7,3.6,1,0.5,0.7,0.8,2.4,7.8,"BOS","grantwilliams"
"26",36,"Payton Pritchard",24,71,2,14.1,2.3,5.3,0.429,1.4,3.5,0.412,0.8,1.8,0.461,0.564,0.3,0.3,1,0.5,1.4,1.9,2,0.4,0.1,0.6,0.9,6.2,"BOS","paytonpritchard"
"27",37,"Enes Freedom",29,35,1,11.7,1.5,2.8,0.526,0.1,0.1,0.4,1.4,2.6,0.533,0.536,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,"BOS","enesfreedom"
"28",38,"Aaron Nesmith",22,52,3,11,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,"BOS","aaronnesmith"
"29",39,"Jabari Parker",26,12,0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,1.8,0.455,0.579,0.8,0.8,1,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4,"BOS","jabariparker"
"30",41,"Sam Hauser",24,26,0,6.1,0.9,1.9,0.46,0.7,1.7,0.432,0.2,0.2,0.667,0.65,0,0,NA,0.2,0.9,1.1,0.4,0,0.1,0.1,0.3,2.5,"BOS","samhauser"
"31",43,"Matt Ryan",24,1,0,5,1,5,0.2,1,5,0.2,0,0,NA,0.3,0,0,NA,0,0,0,0,1,0,0,0,3,"BOS","mattryan"
"32",44,"Brodric Thomas",25,12,0,5,0.7,1.5,0.444,0.2,0.8,0.222,0.5,0.8,0.667,0.5,0.3,0.4,0.6,0.2,0.7,0.8,0.9,0.1,0.1,0.5,0.6,1.8,"BOS","brodricthomas"
"33",49,"C.J. Miles",34,1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,1,0,"BOS","cjmiles"
"34",51,"Joe Johnson",40,1,0,2,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,2,"BOS","joejohnson"
"35",53,"Kyrie Irving",29,29,29,37.6,10,21.2,0.469,3.4,8.2,0.418,6.5,13,0.501,0.55,4.1,4.4,0.915,0.6,3.8,4.4,5.8,1.4,0.6,2.5,2.8,27.4,"BRK","kyrieirving"
"36",54,"Kevin Durant",33,55,55,37.2,10.5,20.3,0.518,2.1,5.5,0.383,8.4,14.8,0.568,0.57,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,"BRK","kevindurant"
"37",56,"Joe Harris",30,14,14,30.2,4,8.9,0.452,2.9,6.3,0.466,1.1,2.6,0.417,0.617,0.4,0.4,0.833,0.4,3.6,4,1,0.5,0.1,1.1,2.2,11.3,"BRK","joeharris"
"38",58,"Patty Mills",33,81,48,29,4,9.8,0.408,2.8,7,0.4,1.2,2.8,0.429,0.551,0.6,0.7,0.814,0.2,1.7,1.9,2.3,0.6,0.2,0.9,1.4,11.4,"BRK","pattymills"
"39",60,"Bruce Brown",25,72,45,24.6,3.6,7,0.506,0.5,1.3,0.404,3,5.7,0.529,0.543,1.3,1.8,0.758,1.4,3.4,4.8,2.1,1.1,0.7,0.8,2.4,9,"BRK","brucebrown"
"40",61,"LaMarcus Aldridge",36,47,12,22.3,5.4,9.7,0.55,0.3,1,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1,0.9,1.7,12.9,"BRK","lamarcusaldridge"
"41",63,"Nic Claxton",22,47,19,20.7,3.8,5.6,0.674,0,0,NA,3.8,5.6,0.674,0.674,1.1,2,0.581,1.9,3.7,5.6,0.9,0.5,1.1,0.8,2.3,8.7,"BRK","nicclaxton"
"42",64,"Kessler Edwards",21,48,23,20.6,2.3,5.6,0.412,1,2.8,0.353,1.3,2.7,0.473,0.502,0.3,0.4,0.842,0.9,2.7,3.6,0.6,0.6,0.5,0.9,1.8,5.9,"BRK","kessleredwards"
"43",66,"James Johnson",34,62,10,19.2,2.3,5,0.469,0.4,1.4,0.271,2,3.6,0.545,0.507,0.5,0.9,0.527,0.8,2.6,3.5,2.1,0.5,0.5,0.8,2.6,5.5,"BRK","jamesjohnson"
"44",67,"Cam Thomas",20,67,2,17.6,3.3,7.5,0.433,0.7,2.6,0.27,2.6,4.9,0.52,0.48,1.3,1.6,0.829,0.2,2.2,2.4,1.2,0.5,0.1,0.8,1,8.5,"BRK","camthomas"
"45",68,"Blake Griffin",32,56,24,17.1,2.4,5.6,0.425,0.7,2.6,0.262,1.7,3,0.565,0.486,1,1.4,0.724,1.1,3,4.1,1.9,0.5,0.3,0.6,1.7,6.4,"BRK","blakegriffin"
"46",69,"David Duke Jr.",22,22,7,15.5,1.8,4.9,0.361,0.4,1.7,0.243,1.4,3.2,0.423,0.403,0.8,1,0.81,1.4,1.7,3,0.8,0.6,0.3,0.4,1.6,4.7,"BRK","daviddukejr"
"47",71,"Day'Ron Sharpe",20,32,8,12.2,2.7,4.7,0.577,0.1,0.2,0.286,2.6,4.4,0.592,0.584,0.8,1.3,0.585,2.5,2.5,5,0.5,0.3,0.5,0.9,1.9,6.2,"BRK","dayronsharpe"
"48",73,"Shaquille Harrison",28,2,0,11.5,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,NA,0.5,1.5,2,1.5,0.5,0.5,1,1.5,2,"BRK","shaquilleharrison"
"49",77,"Miles Bridges",23,80,80,35.5,7.5,15.2,0.491,1.9,5.8,0.331,5.5,9.4,0.59,0.554,3.3,4.2,0.802,1.1,5.9,7,3.8,0.9,0.8,1.9,2.4,20.2,"CHO","milesbridges"
"50",78,"Terry Rozier",27,73,73,33.7,7.1,16,0.444,3,8.1,0.374,4.1,7.9,0.516,0.539,2.1,2.4,0.852,0.8,3.5,4.3,4.5,1.3,0.3,1.3,1.6,19.3,"CHO","terryrozier"
"51",79,"LaMelo Ball",20,75,75,32.3,7.2,16.7,0.429,2.9,7.5,0.389,4.2,9.2,0.462,0.517,2.8,3.2,0.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,3.2,20.1,"CHO","lameloball"
"52",80,"Gordon Hayward",31,49,48,31.9,5.8,12.6,0.459,1.8,4.5,0.391,4,8.1,0.496,0.528,2.6,3,0.846,0.8,3.8,4.6,3.6,1,0.4,1.7,1.7,15.9,"CHO","gordonhayward"
"53",81,"P.J. Washington",23,65,28,27.2,3.8,8.2,0.47,1.7,4.6,0.365,2.2,3.6,0.606,0.573,0.9,1.2,0.716,1.3,3.9,5.2,2.3,0.9,0.9,1.3,2.3,10.3,"CHO","pjwashington"
"54",82,"Cody Martin",26,71,11,26.3,2.9,6,0.482,0.9,2.2,0.384,2,3.7,0.542,0.554,1.1,1.5,0.701,1.2,2.9,4,2.5,1.2,0.5,0.9,1.6,7.7,"CHO","codymartin"
