last name,first name,age,position,team,faStatus,total-contract,average,max-contract
Beal,Bradley,29.0>,SG,WAS,UFA,251019650,50203930,"$251,019,650"
LaVine,Zach,27.2>,SG,CHI,UFA,215159700,43031940,"$215,159,700"
Ayton,Deandre,23.9>,C,PHX,RFA,132929128,33232282,"$132,929,128"
Brunson,Jalen,25.8>,PG,DAL,UFA,104000000,26000000,"$104,000,000"
Simons,Anfernee,23.0>,SG,POR,RFA,100000000,25000000,"$100,000,000"
Dort,Luguentz,23.2>,SG,OKC,RFA,82500000,16500000,"$82,500,000"
Nurkic,Jusuf,27.8>,C,POR,UFA,70000000,17500000,"$70,000,000"
Harden,James,32.9>,SG,PHI,UFA,68640000,34320000,"$68,640,000"
Robinson,Mitchell,24.2>,C,NYK,UFA,60000000,15000000,"$60,000,000"
Portis,Bobby,27.3>,PF,MIL,UFA,48578208,12144552,"$48,578,208"
BagleyIII,Marvin,23.2>,PF,DET,RFA,37500000,12500000,"$37,500,000"
Boucher,Chris,29.4>,PF,TOR,UFA,35250000,11750000,"$35,250,000"
Tucker,P.J.,37.2>,PF,MIA,UFA,33043500,11014500,"$33,043,500"
Martin,Cody,26.8>,SF,CHA,RFA,31360000,7840000,"$31,360,000"
Jones,Tyus,26.1>,PG,MEM,UFA,29000000,14500000,"$30,000,000"
PaytonII,Gary,29.6>,PG,GSW,UFA,26145000,8715000,"$26,145,000"
Batum,Nicolas,33.5>,SF,LAC,UFA,22554168,11277084,"$22,554,168"
Looney,Kevon,26.4>,PF,GSW,UFA,22500000,7500000,"$25,500,000"
Tate,Jae’Sean,26.7>,SF,HOU,RFA,20630434,6876811,"$22,130,434"
Bamba,Mohamed,24.1>,C,ORL,UFA,20600000,10300000,"$20,600,000"
Martin,Caleb,26.8>,SF,MIA,RFA,20408850,6802950,"$20,408,850"
Monk,Malik,24.4>,SG,LAL,UFA,19418049,9709025,"$19,418,049"
Rubio,Ricky,31.7>,PG,IND,UFA,18439026,6146342,"$18,439,026"
Oladipo,Victor,30.2>,SG,MIA,UFA,18200000,9100000,"$18,200,000"
Anderson,Kyle,28.8>,SF,MEM,UFA,18000000,9000000,"$18,000,000"
Claxton,Nicolas,23.2>,PF,BKN,RFA,17250000,8625000,"$17,250,000"
McGee,JaVale,34.4>,C,PHX,UFA,17202840,5734280,"$17,202,840"
Hartenstein,Isaiah,24.2>,C,LAC,UFA,16000000,8000000,"$18,100,000"
Wright,Delon,30.2>,PG,ATL,UFA,16000000,8000000,"$16,000,000"
Smith,Jalen,22.2>,PF,IND,UFA,15131319,5043773,"$15,131,319"
Gallinari,Danilo,33.9>,PF,SAS,UFA,13281950,6640975,"$13,281,950"
Mills,Patty,33.8>,PG,BKN,UFA,13281950,6640975,"$14,489,402"
Wall,John,31.8>,PG,HOU,UFA,13281950,6640975,"$13,281,950"
BrownJr.,Bruce,25.8>,SG,BKN,UFA,13281950,6640975,"$13,281,950"
PorterJr.,Otto,29.1>,SF,GSW,UFA,12300000,6150000,"$12,300,000"
Coffey,Amir,25.0>,SG,LAC,RFA,11000000,3666667,"$11,000,000"
DiVincenzo,Donte,25.4>,SG,SAC,UFA,9225000,4612500,"$9,225,000"
Dedmon,Dewayne,32.8>,C,MIA,UFA,9024000,4512000,"$9,024,000"
HouseJr.,Danuel,29.0>,SF,UTH,UFA,8415250,4207625,"$8,415,250"
Muscala,Mike,31.1>,PF,OKC,UFA,7000000,3500000,"$7,000,000"
Cancar,Vlatko,25.2>,SF,DEN,RFA,6815324,2271775,"$6,815,324"
JonesJr.,Derrick,25.3>,SF,CHI,UFA,6560000,3280000,"$6,560,000"
Drummond,Andre,28.8>,C,BKN,UFA,6560000,3280000,"$6,560,000"
Ingles,Joe,34.8>,SF,POR,UFA,6479000,6479000,"$6,479,000"
WalkerIV,Lonnie,23.5>,SG,SAS,UFA,6479000,6479000,"$6,479,000"
Knox,Kevin,22.9>,SF,ATL,UFA,6000000,3000000,"$6,000,000"
Nwora,Jordan,24.0>,PF,MIL,RFA,5800000,2900000,"$6,200,000"
Sims,Jericho,23.7>,PF,NYK,UFA,5658206,1886069,"$5,658,206"
Hauser,Sam,24.6>,SF,BOS,UFA,5658206,1886069,"$5,658,206"
Harrell,Montrezl,28.6>,PF,CHA,UFA,5223516,2611758,"$5,223,516"
