,name,last name,first name,age,position,team,faStatus,total-contract,average,max-contract
0,bradleybeal,Beal,Bradley,29.0>,SG,WAS,UFA,251019650,50203930,"$251,019,650"
1,bradleybeal,Beal,Bradley,29.0>,SG,WAS,UFA,251019650,50203930,"$251,019,650"
2,zachlavine,LaVine,Zach,27.2>,SG,CHI,UFA,215159700,43031940,"$215,159,700"
3,zachlavine,LaVine,Zach,27.2>,SG,CHI,UFA,215159700,43031940,"$215,159,700"
4,deandreayton,Ayton,Deandre,23.9>,C,PHX,RFA,132929128,33232282,"$132,929,128"
5,deandreayton,Ayton,Deandre,23.9>,C,PHX,RFA,132929128,33232282,"$132,929,128"
6,jalenbrunson,Brunson,Jalen,25.8>,PG,DAL,UFA,104000000,26000000,"$104,000,000"
7,jalenbrunson,Brunson,Jalen,25.8>,PG,DAL,UFA,104000000,26000000,"$104,000,000"
8,anferneesimons,Simons,Anfernee,23.0>,SG,POR,RFA,100000000,25000000,"$100,000,000"
9,anferneesimons,Simons,Anfernee,23.0>,SG,POR,RFA,100000000,25000000,"$100,000,000"
10,luguentzdort,Dort,Luguentz,23.2>,SG,OKC,RFA,82500000,16500000,"$82,500,000"
11,luguentzdort,Dort,Luguentz,23.2>,SG,OKC,RFA,82500000,16500000,"$82,500,000"
12,jusufnurkic,Nurkic,Jusuf,27.8>,C,POR,UFA,70000000,17500000,"$70,000,000"
13,jusufnurkic,Nurkic,Jusuf,27.8>,C,POR,UFA,70000000,17500000,"$70,000,000"
14,jamesharden,Harden,James,32.9>,SG,PHI,UFA,68640000,34320000,"$68,640,000"
15,jamesharden,Harden,James,32.9>,SG,PHI,UFA,68640000,34320000,"$68,640,000"
16,mitchellrobinson,Robinson,Mitchell,24.2>,C,NYK,UFA,60000000,15000000,"$60,000,000"
17,mitchellrobinson,Robinson,Mitchell,24.2>,C,NYK,UFA,60000000,15000000,"$60,000,000"
18,bobbyportis,Portis,Bobby,27.3>,PF,MIL,UFA,48578208,12144552,"$48,578,208"
19,bobbyportis,Portis,Bobby,27.3>,PF,MIL,UFA,48578208,12144552,"$48,578,208"
20,marvinbagleyiii,BagleyIII,Marvin,23.2>,PF,DET,RFA,37500000,12500000,"$37,500,000"
21,marvinbagleyiii,BagleyIII,Marvin,23.2>,PF,DET,RFA,37500000,12500000,"$37,500,000"
22,chrisboucher,Boucher,Chris,29.4>,PF,TOR,UFA,35250000,11750000,"$35,250,000"
